"title","url","summary","source","publication_date","date_found","vulnerable_populations","needs_review","severity","status","reviewer_notes","relevance_score"
"ChatGPT’s Fatal Flattery: Lawsuits Expose AI’s Role in Suicides - WebProNews","https://news.google.com/rss/articles/CBMikgFBVV95cUxOekFvQ2RpT29HMXh4ck5lcG5STkpvTDcweVRzTk5MX2VFNnJpN0tGOUt3UUVWUnQ2TmFUalA1am9MS3lDblF3T0NDSU9WQ190Q0Y3VFNQamtDZngzYWVxYjIwOVdmOUdnVlZFZXZKYzRCZkU0Tzc1TVpfZkd5Y1FjaUV3R2piMURpbXQ0ZTRicUY0dw?oc=5","ChatGPT’s Fatal Flattery: Lawsuits Expose AI’s Role in Suicides WebProNews","Google News: AI flattery issue","","2025-11-12 14:17:43","mental_health","True","","discovered","","60.0"
"Tech Brief: AI Sycophancy and OpenAI","https://news.ycombinator.com/item?id=45648267","By distilling complex developments into accessible, evidence-based insights, this tech brief will ideally help policymakers, researchers, enforcers, and the public get up to speed on emerging risks, company conduct, and areas that may require further scrutiny or oversight. Fed into a user’s suspicions that he was living in a false reality which he could escape only by “unplugging his mind,” sending him down a “dangerous, delusional spiral.” The chatbot “instructed him to give up sleeping pill...","Hacker News","2025-10-20","2025-11-12 14:13:06","mental_health","True","","discovered","HN Score: 3, Comments: 0","50.0"
"SycEval: Evaluating LLM Sycophancy","http://arxiv.org/abs/2502.08177v4","Large language models (LLMs) are increasingly applied in educational, clinical, and professional settings, but their tendency for sycophancy -- prioritizing user agreement over independent reasoning -- poses risks to reliability. This study introduces a framework to evaluate sycophantic behavior in ChatGPT-4o, Claude-Sonnet, and Gemini-1.5-Pro across AMPS (mathematics) and MedQuad (medical advice) datasets. These findings emphasize the risks and opportunities of deploying LLMs in structured a...","arXiv","2025-02-12","2025-11-12 14:12:04","medical","True","","discovered","Research paper","46.0"
"Alignment Without Understanding: A Message- and Conversation-Centered Approach to Understanding AI Sycophancy","http://arxiv.org/abs/2509.21665v1","AI sycophancy is increasingly recognized as a harmful alignment, but research remains fragmented and underdeveloped at the conceptual level. This article redefines AI sycophancy as the tendency of large language models (LLMs) and other interactive AI systems to excessively and/or uncritically validate, amplify, or align with a user's assertions-whether these concern factual information, cognitive evaluations, or affective states. By embedding AI sycophancy in the broader landscape of communic...","arXiv","2025-09-25","2025-11-12 14:12:04","","True","","discovered","Research paper","46.0"
"OpenAI Rolls Back ChatGPT Update After User Pushback Over ‘Sycophantic’ Behavior - Decrypt","https://news.google.com/rss/articles/CBMijwFBVV95cUxQQ2xrVkJHSGdIdVFxbDhsU050T1c3VDlKTWJucUpJaVZuQTFrTTVVOWxPekg1VVJtUWdPVjJPN0pxUV9lYV9tcldJRDF0QWNyNHAzcmhUY2d1TTFEVGRtV3FreER1S3FhRHBJN2pmMjd1Qk5RN2lmRzZESGxIR1M1X0NNV01tenhYUlA0OC12QdIBlwFBVV95cUxNZWFoSG9IWUhjdDBNNEFYZWtXVldnaEFGU1ByOUlQNHVjZExSeFhGNmNXbWU3THZhcWdIem1qMFRYSWhKMzhubjJCcjJKeGZFSHg5ZmlfMFp0SHhfbm5kRXNSc2NLcTZlTWtINTBZRVFFUVhIWV90eElXckhtcGdZOUpvblBkV0NhYjJtRWd1QnBacGRsRVB3?oc=5","OpenAI Rolls Back ChatGPT Update After User Pushback Over ‘Sycophantic’ Behavior Decrypt","Google News: AI sycophancy 2023","2025-04-29","2025-11-12 14:06:56","","True","","discovered","","45.0"
"After GPT-4o backlash, researchers benchmark models on moral endorsement—find sycophancy persists across the board - Venturebeat","https://news.google.com/rss/articles/CBMi1wFBVV95cUxOYTdNSnM2TzJUMWQwOC1zRW9wQThzeWZvX2xMQjBtdURzdHVLMGFWZDlXaEVNS2NGRGhpTFdSWHJ1RWxiLVJ3bXVDYmItSjJIbTZtMkJUY0tjVGExbm83RGI3NDE2Zmg2a3F4QjRxVjU1Wk5rNjBLeUJXak9tYnVFUWYwRlQ2SUIzbUxxSE1rWFJkblVXZi1CWXB3cGFadFJ3OUxwcFNhRENCRW45WWhPbURyUTdkUEZZSi1wc2Rnc3V3VVcycmxJVE9UR1A3VmZRaHRZdXhEVQ?oc=5","After GPT-4o backlash, researchers benchmark models on moral endorsement—find sycophancy persists across the board Venturebeat","Google News: AI sycophancy 2024","2025-05-22","2025-11-12 14:07:58","","True","","discovered","","45.0"
"OpenAI Announces That It's Making GPT-5 More Sycophantic After User Backlash - Yahoo","https://news.google.com/rss/articles/CBMihwFBVV95cUxOalpfZTlLQVFtMXZVUXJlWnZqVHlNRnNpMmpHRW44QTYtSjdEZUtfOWo3SFFNOTd4Skt6OHd1ZEliYzc4WFQ5UkpIYWJ5YWlneHF5S2d0Q3FZek01WW9JTjUzbFN5UEhKaGdoWFBNOENQVXp3SWtpSDJ1OWhiXzhBZmJTV2lwVkU?oc=5","OpenAI Announces That It's Making GPT-5 More Sycophantic After User Backlash Yahoo","Google News: OpenAI sycophancy 2024","2025-08-18","2025-11-12 14:10:25","","True","","discovered","","45.0"
"OpenAI Announces That It’s Making GPT-5 More Sycophantic After User Backlash - futurism.com","https://news.google.com/rss/articles/CBMiXkFVX3lxTFBHejRTQUprZU1tTjNSTmVOY1ZhOElCdWpVWE1PQTJfeWptcVVZbE5VXzdnSHBjZmxBNGxBcjJaWEZLekZEbWVldW1VUnFlakxGQi1rTVpTQTdDZXo3akE?oc=5","OpenAI Announces That It’s Making GPT-5 More Sycophantic After User Backlash futurism.com","Google News: OpenAI rollback sycophancy","","2025-11-12 14:20:47","","True","","discovered","","45.0"
"ChatGPT: Could Chatbots Sycophancy Result in AI Psychosis? - Irish Tech News","https://news.google.com/rss/articles/CBMif0FVX3lxTE9PajFDNGpuLUNhNno0SkZMUktxc0phd2ZwOWZLQjBnM2hfVjllS21UV1owT1RHcWwwUlRYbFJVR0FOa1NGTWtjSW0yX2p6azNFY0ZEVFRwemR5c3ZPN01qSmxiOENCa1lFVDNYTWJnN3dJaGE5MmQ2TnFxZkMyT2_SAX9BVV95cUxPT2oxQzRqbi1DYTZ6NEpGTFJLcXNKYXdmcDlmS0IwZzNoX1Y5ZUttVFdaME9UR3FsMFJUWGxSVUdBTmtTRk1rY0ltMl9qemszRWNGRFRUcHpkeXN2TzdNakpsYjhDQmtZRVQzWE1iZzd3SWhhOTJkNk5xcWZDMk9v?oc=5","ChatGPT: Could Chatbots Sycophancy Result in AI Psychosis? Irish Tech News","Google News: AI sycophancy","","2025-11-12 14:16:26","mental_health","True","","discovered","","42.0"
"ChatGPT's Dangerous Sycophancy: How AI-Bootlicking Reinforces Mental Illness","https://news.ycombinator.com/item?id=43843806","It has a lot of cons because the data is not carefully collected from a representative sample (people employed by OpenAI), and the model exhibits unwanted biases. Directly telling a user their experience sounds like schizophrenia could be interpreted as diagnosing (which LLMs are advised to avoid), being offensive, or causing distress. So, in essence, the bootlicking behavior observed is often a side effect of the LLM prioritizing agreeableness, safety, and pattern continuation over critical ...","Hacker News","2025-04-30","2025-11-12 14:13:29","mental_health","True","","discovered","HN Score: 2, Comments: 0","40.0"
"What Research Says About ""AI Sycophancy""","https://news.ycombinator.com/item?id=45625511","In two previous research roundups for Tech Policy Press, I looked at studies that considered how AI chatbots affect mental health and may encourage addictive behaviors. Authors: Aaron Fanous, Jacob Goldberg, Ank Agarwal, Joanna Lin, Anson Zhou, Sonnet Xu, Vasiliki Bikia, Roxana Daneshjou, Sanmi Koyejo This study examines both of these cases and also investigates the quality of rebuttals and how that influences AI sycophancy in order to “provide actionable insights for prompt design.”","Hacker News","2025-10-18","2025-11-12 14:13:09","mental_health","True","","discovered","HN Score: 3, Comments: 0","40.0"
